id,function,title,template,description,stage,disciplines,claim_strength,evidence_requirement,causal_design_required,placeholders,keywords,notes,risk,provenance_method,provenance_author,source_reuse,version
RLX-REC-001,recommend_action,Research recommendation from gap,Future work should test {question} in {scope} using {method}.,"Turn a bounded research gap into a specific, testable next study.",conclusion,general,bounded,contextual,false,question|scope|method,future research|recommendation|test|method,Explain how the proposed method addresses the identified limitation or gap.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-REC-002,recommend_action,Conditional practice recommendation,"Given {evidence}, where {condition} applies, {stakeholder} could consider {action} while monitoring {outcome}.","Offer a reversible, conditional practice option with an explicit monitoring target.",conclusion,engineering|health_sciences|social_sciences,bounded,observational,false,evidence|condition|stakeholder|action|outcome,practice recommendation|could consider|monitoring|conditional,Use could consider when benefits and harms remain uncertain; state trade-offs nearby.,high,original_editorial,RhetoriLex contributors,false,1
RLX-REC-003,recommend_action,Evidence-backed implementation recommendation,"Given {evidence}, implementation of {action} is warranted for {scope}, with review after {timeframe}.",Recommend bounded implementation backed by direct evidence and a review point.,conclusion,engineering|health_sciences,assertive,direct,false,evidence|action|scope|timeframe,implementation|warranted|review|recommend action,"Assess feasibility, distributional effects, harms, and stakeholder values before use.",high,original_editorial,RhetoriLex contributors,false,1
RLX-REC-004,recommend_action,Decision under uncertainty,"Until {uncertainty} is resolved, a proportionate step is to {action} and collect {evidence}.",Recommend a limited next step that also reduces consequential uncertainty.,conclusion,general,tentative,contextual,false,uncertainty|action|evidence,decision uncertainty|proportionate step|collect evidence|recommendation,Prefer reversible actions when downside risk or evidential uncertainty is high.,high,original_editorial,RhetoriLex contributors,false,1
RLX-SCO-001,define_scope,Population and setting scope,The analysis concerns {population} in {setting} during {period}.,"Define the population, setting, and period covered by an analysis.",methods,general,tentative,none,false,population|setting|period,scope|population|setting|period,"Use the same boundary terms consistently in methods, results, and conclusions.",low,original_editorial,RhetoriLex contributors,false,1
RLX-SCO-002,define_scope,Conceptual definition scope,"Here, {term} refers specifically to {definition}, excluding {excluded_meaning}.",Define a term operationally and name a nearby meaning that is excluded.,introduction,humanities|social_sciences|general,tentative,none,false,term|definition|excluded_meaning,define term|conceptual scope|excluding|definition,Do not present a stipulative definition as universal usage.,low,original_editorial,RhetoriLex contributors,false,1
RLX-SCO-003,define_scope,Analytic boundary,This analysis evaluates {outcome} at the {unit} level and does not address {outside_scope}.,Set the unit of analysis and an explicit non-goal.,methods,general,tentative,none,false,outcome|unit|outside_scope,unit of analysis|boundary|does not address|scope,Check that later claims do not shift to a different unit without justification.,low,original_editorial,RhetoriLex contributors,false,1
RLX-SCO-004,define_scope,Review inclusion boundary,The review includes {source} that meet {criterion} and were available by {date}.,"State the source type, inclusion criterion, and temporal cutoff of a review.",methods,general,tentative,contextual,false,source|criterion|date,review scope|inclusion criteria|cutoff date|sources,"Report databases, languages, screening process, and exclusions elsewhere in the method.",low,original_editorial,RhetoriLex contributors,false,1
RLX-SYN-001,synthesize_sources,Synthesize shared proposition,"Across {source}, {evidence} converges on {claim}, particularly under {condition}.",Integrate multiple independent sources around a conditional shared proposition.,literature_review,general,assertive,convergent,false,source|evidence|claim|condition,synthesis|converges|shared proposition|multiple sources,Use plural source wording in the filled slot and identify meaningful disagreement separately.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-SYN-002,synthesize_sources,Synthesize complementary roles,"Together, {source_a} explains {aspect_a}, while {source_b} clarifies {aspect_b}.",Combine sources that illuminate different parts of the same problem.,literature_review,general,bounded,contextual,false,source_a|aspect_a|source_b|aspect_b,complementary sources|together|synthesis|aspects,Explain the link between the two aspects in the next sentence.,low,original_editorial,RhetoriLex contributors,false,1
RLX-SYN-003,synthesize_sources,Map a structured disagreement,"The literature divides over {question}: {source_a} supports {position_a}, whereas {source_b} supports {position_b}.",Synthesize disagreement by organizing sources around a clearly posed question.,literature_review,general,bounded,contextual,false,question|source_a|position_a|source_b|position_b,literature divide|debate|positions|synthesis,Represent each position charitably and include mixed or intermediate accounts when relevant.,low,original_editorial,RhetoriLex contributors,false,1
RLX-SYN-004,synthesize_sources,Synthesize evidence hierarchy,"The strongest support for {claim} comes from {evidence}, while {source} supplies contextual detail.",Distinguish direct support from contextual material within a synthesis.,literature_review,general,assertive,convergent,false,claim|evidence|source,evidence hierarchy|strongest support|context|synthesis,Explain the criteria used to rank evidential strength.,medium,original_editorial,RhetoriLex contributors,false,1
