id,function,title,template,description,stage,disciplines,domains,skill_areas,search_aliases,claim_strength,evidence_requirement,causal_design_required,placeholders,keywords,notes,risk,provenance_method,provenance_author,source_reuse,version
RLX-CAU-003,causal_claim,Convergent causal inference,"Across {evidence}, the causal interpretation that {cause} affects {outcome} is more credible than {alternative}.",Express strengthened causal credibility from independent designs or evidence streams.,discussion,general,general_academic,claim_control|scientific_framing,association versus causation|causal inference|causal overclaim|cause and effect|correlation is not causation|interpretation section|meaning of findings|treatment effect,causal,convergent,true,evidence|cause|outcome|alternative,causal convergence|triangulation|alternative explanation|credible,Explain how the evidence streams carry different biases and address the named alternative.,high,original_editorial,RhetoriLex contributors,false,1
RLX-CAU-004,causal_claim,Mechanism-linked causal claim,"The intervention altered {mechanism}, and {evidence} supports a resulting change in {outcome}.","Connect an intervention, a measured mechanism, and an outcome under a causal design.",discussion,sciences|engineering|health_sciences,clinical_health|engineering_computing|experimental_science,claim_control|scientific_framing,association versus causation|biomedical writing|causal inference|causal overclaim|cause and effect|correlation is not causation|experimental research|health research|interpretation section|meaning of findings|natural science|system evaluation|technical design|treatment effect,causal,direct,true,mechanism|evidence|outcome,causal mechanism|intervention|mediation|resulting change,A mechanism measurement alone does not establish mediation; report the identifying design.,high,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-001,compare_findings,Compare direction and magnitude,"Like {source}, {finding} shows {similarity}, although the magnitude differs by {difference}.",Compare a shared direction while preserving a meaningful magnitude difference.,discussion,general,general_academic,literature_writing|results,agreement with prior work|compare studies|interpretation section|meaning of findings|similar results,assertive,observational,false,source|finding|similarity|difference,compare findings|similarity|magnitude|like,"Ensure both results use compatible outcomes, scales, and comparison groups.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-002,compare_findings,Compare across contexts,The pattern in {context_a} parallels {finding} in {context_b} with respect to {dimension}.,Identify a specific dimension on which patterns from two contexts align.,literature_review,humanities|social_sciences,humanities_interpretive|social_behavioral,literature_writing|results,agreement with prior work|background literature|behavioral research|compare studies|interpretive scholarship|related work|similar results|social research|textual analysis,bounded,observational,false,context_a|finding|context_b|dimension,parallel|cross-context|comparison|dimension,Do not imply broader equivalence beyond the named dimension.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-003,compare_findings,Compare methods and outcomes,"Despite using {method_difference}, both analyses produced {finding}.",Highlight outcome agreement across a specified methodological difference.,discussion,general,general_academic,literature_writing|results,agreement with prior work|compare studies|interpretation section|meaning of findings|similar results,assertive,convergent,false,method_difference|finding,method comparison|agreement|robustness|both analyses,Methodological diversity strengthens convergence only when biases are not shared.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-004,compare_findings,Compare with a benchmark,"Relative to {benchmark}, {estimate} represents {comparison} for {outcome}.","Interpret an estimate against an explicit, relevant benchmark.",results,engineering|sciences|health_sciences|social_sciences,clinical_health|engineering_computing|experimental_science|social_behavioral,literature_writing|results,agreement with prior work|analysis output|behavioral research|biomedical writing|compare studies|experimental research|findings|health research|natural science|similar results|social research|system evaluation|technical design,bounded,observational,false,benchmark|estimate|comparison|outcome,benchmark|relative to|comparison|estimate,Justify why the selected benchmark is an appropriate reference point.,low,original_editorial,RhetoriLex contributors,false,1
RLX-CON-001,contrast_findings,Contrast by context,"Whereas {source} reports {finding}, the present analysis finds {result} in {scope}.",State a contrast while keeping source and present-study contexts visible.,discussion,general,general_academic,argumentation|literature_writing|results,contrast studies|different results|disagree with literature|interpretation section|meaning of findings,assertive,observational,false,source|finding|result|scope,whereas|contrast|different finding|scope,Follow with design or context differences that could explain the contrast.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CON-002,contrast_findings,Contrast predictions,{pattern} aligns with {framework_a} but differs from the prediction of {framework_b}.,Contrast how one observation relates to two specified theoretical predictions.,discussion,general,general_academic,argumentation|literature_writing|results,contrast studies|different results|disagree with literature|interpretation section|meaning of findings,bounded,observational,false,pattern|framework_a|framework_b,theory contrast|prediction|aligns|differs,State each framework's prediction before judging alignment.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CON-003,contrast_findings,Contrast subgroup estimates,"The estimate for {group_a} was {estimate}, while the corresponding pattern for {group_b} was {pattern}.",Report a subgroup contrast without assuming the between-group difference is tested.,results,health_sciences|social_sciences|sciences,clinical_health|experimental_science|social_behavioral,argumentation|literature_writing|results,analysis output|behavioral research|biomedical writing|contrast studies|different results|disagree with literature|experimental research|findings|health research|natural science|social research,assertive,direct,false,group_a|estimate|group_b|pattern,subgroup|contrast estimates|while|heterogeneity,Add a formal interaction or contrast test before claiming that effects differ.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CON-004,contrast_findings,Separate apparent contradiction,The apparent conflict between {source} and {finding} narrows once {distinction} is made explicit.,Resolve or refine an apparent disagreement by identifying a relevant distinction.,literature_review,humanities|social_sciences|general,general_academic,argumentation|literature_writing|results,background literature|behavioral research|contrast studies|different results|disagree with literature|interpretive scholarship|related work|social research|textual analysis,bounded,contextual,false,source|finding|distinction,apparent conflict|distinction|reconcile|contradiction,"The distinction should change what each claim entails, not merely rename the disagreement.",low,original_editorial,RhetoriLex contributors,false,1
RLX-CTR-001,state_contribution,Contribution to a bounded gap,This study addresses {gap} by examining {question} in {scope}.,"State a contribution through the specific gap, question, and scope it addresses.",introduction,general,general_academic,argumentation|publication|research_framing|thesis_dissertation,browse manuscript moves|chapter writing|opening section|paper section|research contribution|research framing|thesis contribution|what study adds,bounded,contextual,false,gap|question|scope,research contribution|address gap|study aim|scope,Avoid first or novel unless a transparent search supports the priority claim.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CTR-002,state_contribution,Methodological contribution,The study contributes {resource} for examining {question} under {condition}.,"Describe a method, dataset, framework, or resource contribution without universal superiority claims.",conclusion,general,general_academic,argumentation|publication|research_framing|thesis_dissertation,browse manuscript moves|chapter writing|closing section|paper section|research contribution|takeaway|thesis contribution|what study adds,bounded,contextual,false,resource|question|condition,methodological contribution|research resource|analytic framework|study value,"State availability, validation, and scope separately when relevant.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-CTR-003,state_contribution,Empirical contribution from convergence,"By combining {evidence}, the study provides support for {claim} across {scope}.",State an empirical contribution based on convergent evidence and a named scope.,conclusion,general,general_academic,argumentation|publication|research_framing|thesis_dissertation,browse manuscript moves|chapter writing|closing section|paper section|research contribution|takeaway|thesis contribution|what study adds,assertive,convergent,false,evidence|claim|scope,empirical contribution|convergent evidence|supports claim|conclusion,Explain independence and relevance of the evidence streams before invoking convergence.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CTR-004,state_contribution,Conceptual contribution,The analysis refines {concept} by distinguishing {dimension_a} from {dimension_b}.,State a conceptual contribution as a precise distinction rather than an unsupported novelty claim.,conclusion,humanities|law|social_sciences,humanities_interpretive|legal_policy|social_behavioral,argumentation|publication|research_framing|thesis_dissertation,behavioral research|browse manuscript moves|chapter writing|closing section|doctrinal analysis|interpretive scholarship|legal scholarship|paper section|research contribution|social research|takeaway|textual analysis|thesis contribution|what study adds,bounded,contextual,false,concept|dimension_a|dimension_b,conceptual contribution|refine concept|theoretical distinction|argument,"Show how the distinction changes analysis or interpretation, and cite prior formulations.",low,original_editorial,RhetoriLex contributors,false,1
RLX-CTX-001,establish_context,Problem within a bounded setting,"Within {scope}, {problem} remains consequential for {stakeholder}.",Open a paper by locating a consequential problem inside an explicit setting or population.,introduction,general,general_academic,research_framing|scientific_framing|thesis_dissertation,browse manuscript moves|chapter writing|motivate study|opening section|paper section|problem statement|research background|research framing,bounded,contextual,false,scope|problem|stakeholder,background|problem statement|research context|significance,Support consequential claims nearby and avoid implying universal importance.,low,original_editorial,RhetoriLex contributors,false,1
RLX-CTX-002,establish_context,Shift in scholarly attention,Recent work on {topic} has shifted attention from {earlier_focus} toward {current_focus}.,Describe a bounded change in the emphasis of a literature without claiming complete consensus.,literature_review,general,general_academic,research_framing|scientific_framing|thesis_dissertation,background literature|browse manuscript moves|chapter writing|motivate study|paper section|problem statement|related work|research background,bounded,contextual,false,topic|earlier_focus|current_focus,literature trend|scholarly attention|background|research landscape,Define the reviewed literature and time boundary that support the stated shift.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CTX-003,establish_context,Frame an interpretive debate,Debate about {concept} turns in part on how {distinction} is drawn.,Introduce an interpretive dispute through the conceptual distinction organizing it.,introduction,humanities|law,humanities_interpretive|legal_policy,research_framing|scientific_framing|thesis_dissertation,browse manuscript moves|chapter writing|doctrinal analysis|interpretive scholarship|legal scholarship|motivate study|opening section|paper section|problem statement|research background|research framing|textual analysis,bounded,contextual,false,concept|distinction,conceptual debate|interpretation|distinction|argument framing,In part prevents the distinction from being presented as the debate's sole dimension.,low,original_editorial,RhetoriLex contributors,false,1
RLX-CTX-004,establish_context,Frame an engineering trade-off,"For {system}, the practical challenge is to balance {objective_a} against {objective_b} under {constraint}.",Frame an engineering or design problem as an explicit trade-off under a real constraint.,introduction,engineering|computer_science,engineering_computing,research_framing|scientific_framing|thesis_dissertation,algorithm evaluation|browse manuscript moves|chapter writing|machine learning paper|motivate study|opening section|paper section|problem statement|research background|research framing|system evaluation|technical design,tentative,none,false,system|objective_a|objective_b|constraint,engineering tradeoff|design problem|objectives|constraint,Verify that the objectives genuinely conflict in the defined operating context.,low,original_editorial,RhetoriLex contributors,false,1
RLX-DCA-001,distinguish_causation,Temporal order is not causation,"Although {finding} establishes temporal order, it does not by itself identify {cause} as a cause of {outcome}.",Prevent a temporal sequence from being upgraded automatically to a causal relation.,discussion,general,general_academic,claim_control,association not causation|association versus causation|avoid causal language|causal caution|causal overclaim|correlation is not causation|interpretation section|meaning of findings,bounded,observational,false,finding|cause|outcome,temporal order|causal inference|sequence|not causation,"State confounding, selection, reverse pathways, or design assumptions relevant to identification.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-DCA-002,distinguish_causation,Bound residual confounding,"Because {unmeasured_factor} may account for part of {finding}, {estimate} should be interpreted as associational.",Tie an observational interpretation to a specific unresolved source of confounding.,discussion,clinical_research|social_sciences|quantitative_research,clinical_health|quantitative_empirical|social_behavioral,claim_control,association not causation|association versus causation|avoid causal language|behavioral research|causal caution|causal overclaim|clinical study|correlation is not causation|empirical quantitative|interpretation section|meaning of findings|social research|statistical analysis|trial reporting,tentative,observational,false,unmeasured_factor|finding|estimate,residual confounding|observational study|associational estimate|causal caution,Do not imply that measured adjustment eliminates unmeasured or poorly measured confounding.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-DCA-003,distinguish_causation,Prediction does not imply intervention effect,"Although {result} improves prediction of {outcome}, it does not show that changing {predictor} would change that outcome.",Separate predictive usefulness from a counterfactual intervention claim.,discussion,computer_science|health_sciences|quantitative_research,clinical_health|engineering_computing|quantitative_empirical,claim_control,algorithm evaluation|association not causation|association versus causation|avoid causal language|biomedical writing|causal caution|causal overclaim|correlation is not causation|empirical quantitative|health research|interpretation section|machine learning paper|meaning of findings|statistical analysis,bounded,direct,false,result|outcome|predictor,prediction versus causation|intervention effect|counterfactual|predictive model,"A causal claim needs an identified intervention, comparator, estimand, and assumptions.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-DCA-004,distinguish_causation,Mediation remains unestablished,"The observed change in {mechanism} is compatible with mediation, but {evidence} does not isolate that pathway from {alternative}.",Describe mechanism-compatible evidence without declaring a mediated causal pathway.,discussion,sciences|clinical_research|social_sciences,clinical_health|experimental_science|social_behavioral,claim_control,association not causation|association versus causation|avoid causal language|behavioral research|causal caution|causal overclaim|clinical study|correlation is not causation|experimental research|interpretation section|meaning of findings|natural science|social research|trial reporting,tentative,observational,false,mechanism|evidence|alternative,mediation caution|mechanism evidence|causal pathway|alternative explanation,Mechanism measurement and temporal order alone do not identify mediation.,high,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-001,introduce_evidence,Report a measured result,The analysis yielded {result} for {outcome} in {scope}.,Introduce a quantitative or qualitative result with outcome and scope attached.,results,general,general_academic,evidential_verbs|results|scientific_framing,analysis output|browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|findings|introduce a result|paper section|present evidence|report data|suggests indicates supports demonstrates confirms,assertive,direct,false,result|outcome|scope,report result|measurement|outcome|analysis,"Include units, uncertainty, and comparison basis where relevant.",low,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-002,introduce_evidence,Attribute source evidence,"In {source}, {evidence} is presented as evidence for {proposition}.",Attribute evidence and its intended proposition without adopting the source's conclusion automatically.,literature_review,general,general_academic,evidential_verbs|results|scientific_framing,background literature|browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|introduce a result|paper section|present evidence|related work|report data|suggests indicates supports demonstrates confirms,bounded,contextual,false,source|evidence|proposition,source attribution|evidence|literature|proposition,Use a precise source locator in the citation system required by the venue.,low,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-003,introduce_evidence,Present an observed pattern,"Across {scope}, the observed pattern was {pattern}.",Report a recurring empirical pattern while keeping its domain explicit.,results,sciences|social_sciences|health_sciences,clinical_health|experimental_science|social_behavioral,evidential_verbs|results|scientific_framing,analysis output|behavioral research|biomedical writing|browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|experimental research|findings|health research|introduce a result|natural science|paper section|present evidence|report data|social research|suggests indicates supports demonstrates confirms,assertive,observational,false,scope|pattern,observed pattern|across cases|empirical|results,Describe exceptions or heterogeneity immediately after the broad pattern when material.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-004,introduce_evidence,Introduce an uncertainty interval,"The estimate was {estimate}, with an uncertainty interval of {interval}.",Report a point estimate together with its stated uncertainty interval.,results,sciences|engineering|health_sciences|social_sciences,clinical_health|engineering_computing|experimental_science|social_behavioral,evidential_verbs|results|scientific_framing,analysis output|behavioral research|biomedical writing|browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|experimental research|findings|health research|introduce a result|natural science|paper section|present evidence|report data|social research|suggests indicates supports demonstrates confirms|system evaluation|technical design,assertive,direct,false,estimate|interval,estimate|confidence interval|uncertainty|precision,Name the interval type and level in nearby text or notation.,low,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-001,identify_gap,Bounded empirical gap,The available {evidence} remains limited for {question} in {scope}.,Identify a specific evidence gap without claiming that no work exists.,introduction,general,general_academic,literature_writing|research_framing,knowledge deficit|opening section|research framing|research gap|unanswered question,bounded,contextual,false,evidence|question|scope,research gap|limited evidence|unresolved question|scope,Support the gap with a transparent search or review boundary.,low,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-002,identify_gap,Unresolved mechanism gap,"Prior findings describe {pattern}, but the mechanism linking it to {outcome} remains unresolved.",Separate evidence for an observed pattern from uncertainty about its mechanism.,introduction,general,general_academic,literature_writing|research_framing,knowledge deficit|opening section|research framing|research gap|unanswered question,bounded,observational,false,pattern|outcome,mechanism gap|remains unresolved|prior findings|outcome,Do not imply that a mechanism is absent merely because it has not been established.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-003,identify_gap,Measurement gap,"Existing measures capture {covered_dimension}, yet provide limited evidence about {missing_dimension}.",Identify a construct or measurement dimension that current instruments underrepresent.,literature_review,social_sciences|health_sciences|engineering,clinical_health|engineering_computing|social_behavioral,literature_writing|research_framing,background literature|behavioral research|biomedical writing|health research|knowledge deficit|related work|research gap|social research|system evaluation|technical design|unanswered question,bounded,contextual,false,covered_dimension|missing_dimension,measurement gap|construct validity|limited evidence|dimension,Ground the distinction between dimensions in theory or validation evidence.,low,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-004,identify_gap,Boundary-condition gap,It is not yet clear whether {finding} holds when {condition} changes.,Frame an open generalizability question as a change in a named condition.,introduction,general,general_academic,literature_writing|research_framing,knowledge deficit|opening section|research framing|research gap|unanswered question,tentative,observational,false,finding|condition,boundary condition|not yet clear|generalizability|open question,Choose a condition with a reasoned basis for effect modification.,low,original_editorial,RhetoriLex contributors,false,1
RLX-INT-001,interpret_evidence,Bounded evidence interpretation,"Within {scope}, {finding} indicates that {claim}.",Interpret a finding as support for a claim inside a named boundary.,discussion,general,general_academic,argumentation|discussion|evidential_verbs,browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|explain a finding|interpret data|interpretation section|meaning of findings|meaning of results|paper section|suggests indicates supports demonstrates confirms,assertive,direct,false,scope|finding|claim,interpret finding|indicates|scope|discussion,Use indicates only when the design directly bears on the claim; otherwise select a tentative template.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-INT-002,interpret_evidence,Mechanism-compatible interpretation,One interpretation of {finding} is that {mechanism} may shape {outcome}.,Offer a tentative mechanism that could account for an observed finding.,discussion,general,general_academic,argumentation|discussion|evidential_verbs,browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|explain a finding|interpret data|interpretation section|meaning of findings|meaning of results|paper section|suggests indicates supports demonstrates confirms,tentative,observational,false,finding|mechanism|outcome,mechanism|one interpretation|may shape|finding,Present competing mechanisms when the evidence cannot discriminate among them.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-INT-003,interpret_evidence,Practical magnitude interpretation,"In practical terms, {estimate} corresponds to {real_world_meaning} for {stakeholder}.",Translate an estimate into a decision-relevant magnitude for a named stakeholder.,discussion,engineering|health_sciences|social_sciences,clinical_health|engineering_computing|social_behavioral,argumentation|discussion|evidential_verbs,behavioral research|biomedical writing|browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|explain a finding|health research|interpret data|interpretation section|meaning of findings|meaning of results|paper section|social research|suggests indicates supports demonstrates confirms|system evaluation|technical design,bounded,observational,false,estimate|real_world_meaning|stakeholder,practical significance|magnitude|stakeholder|estimate,Keep the translation numerically traceable and separate it from value judgments.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-INT-004,interpret_evidence,Null-compatible interpretation,"Because {result} remains imprecise, the evidence does not distinguish between {possibility_a} and {possibility_b}.",Interpret an inconclusive result without equating non-significance with equivalence.,discussion,sciences|health_sciences|social_sciences,clinical_health|experimental_science|social_behavioral,argumentation|discussion|evidential_verbs,behavioral research|biomedical writing|browse manuscript moves|calibrate evidence verb|chapter writing|evidential verb strength|experimental research|explain a finding|health research|interpret data|interpretation section|meaning of findings|meaning of results|natural science|paper section|social research|suggests indicates supports demonstrates confirms,tentative,direct,false,result|possibility_a|possibility_b,inconclusive|imprecision|null result|does not distinguish,State the precision criterion or interval that leaves both possibilities open.,low,original_editorial,RhetoriLex contributors,false,1
RLX-JUS-001,justify_method,Align method with question,We chose {method} because it directly addresses {question} at the level of {unit}.,Justify a method through its fit with the research question and unit of analysis.,methods,general,general_academic,methods|thesis_dissertation,design choice|materials and methods|method rationale|methodology|why this method,bounded,contextual,false,method|question|unit,method rationale|research question|unit of analysis|methodological fit,"Directly addresses means fit to the question, not proof that the method is uniquely best.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-JUS-002,justify_method,Justify triangulation,Combining {method_a} with {method_b} allows {aspect_a} and {aspect_b} to be examined separately.,Explain the complementary contribution of two methods without assuming convergence in advance.,methods,qualitative_research|social_sciences|health_sciences,clinical_health|qualitative_inquiry|social_behavioral,methods|thesis_dissertation,behavioral research|biomedical writing|design choice|health research|interviews|materials and methods|method rationale|methodology|social research|thematic analysis|why this method,bounded,contextual,false,method_a|method_b|aspect_a|aspect_b,mixed methods|triangulation|complementary methods|design rationale,Do not claim validation merely because two methods were used.,low,original_editorial,RhetoriLex contributors,false,1
RLX-JUS-003,justify_method,Justify sensitivity analysis,We varied {assumption} to assess whether {claim} depended on {uncertain_choice}.,Connect a sensitivity analysis to the assumption or analytic choice it probes.,methods,quantitative_research|sciences|clinical_research,clinical_health|experimental_science|quantitative_empirical,methods|thesis_dissertation,clinical study|design choice|empirical quantitative|experimental research|materials and methods|method rationale|methodology|natural science|statistical analysis|trial reporting|why this method,bounded,contextual,false,assumption|claim|uncertain_choice,sensitivity analysis|robustness check|assumption|analytic choice,Specify the plausible range and why it addresses the relevant uncertainty.,low,original_editorial,RhetoriLex contributors,false,1
RLX-JUS-004,justify_method,Justify corpus boundaries,The corpus was limited to {scope} so that {feature} could be compared under {shared_condition}.,Explain how a corpus boundary enables a valid or interpretable comparison.,methods,humanities|law|qualitative_research,humanities_interpretive|legal_policy|qualitative_inquiry,methods|thesis_dissertation,design choice|doctrinal analysis|interpretive scholarship|interviews|legal scholarship|materials and methods|method rationale|methodology|textual analysis|thematic analysis|why this method,bounded,contextual,false,scope|feature|shared_condition,corpus selection|inclusion rationale|comparability|source boundaries,Also disclose what the boundary excludes and how that limits interpretation.,low,original_editorial,RhetoriLex contributors,false,1
RLX-LIM-001,state_limitation,Sampling limitation,"Because the sample excludes {excluded_group}, {finding} should be generalized only to {scope}.",Connect a sampling boundary directly to the supported target population.,discussion,general,general_academic,claim_control|discussion|thesis_dissertation,boundary of inference|caveat|interpretation section|meaning of findings|study weakness,bounded,observational,false,excluded_group|finding|scope,sampling limitation|generalize|excluded group|scope,Avoid implying how the result would change in the excluded group without evidence.,low,original_editorial,RhetoriLex contributors,false,1
